name,indicator,year,value,raw
09009140100,homeownership,1970,0.10278372591006424,467
09009140200,homeownership,1970,1,64
09009140300,homeownership,1970,0.27228915662650605,1245
09009140400,homeownership,1970,0.33076263924592975,1167
09009140500,homeownership,1970,0.2936197916666667,1536
09009140600,homeownership,1970,0.19268693508627774,2434
09009140700,homeownership,1970,0.07680491551459294,2604
09009140800,homeownership,1970,0.21404456448345713,1481
09009140900,homeownership,1970,0.255297157622739,1935
09009141000,homeownership,1970,0.5554862842892768,1604
09009141100,homeownership,1970,0.7339805825242719,1030
09009141200,homeownership,1970,0.4530386740331492,1991
09009141300,homeownership,1970,0.13185378590078328,1532
09009141400,homeownership,1970,0.47705914870093974,1809
09009141500,homeownership,1970,0.331114225648213,2854
09009141600,homeownership,1970,0.17543103448275862,2320
09009141800,homeownership,1970,0.21952736318407962,1608
09009141900,homeownership,1970,0.3125788809423643,2377
09009142000,homeownership,1970,0.1975650249031544,1807
09009142100,homeownership,1970,0.12569832402234637,716
09009142200,homeownership,1970,0.22711471610660486,863
09009142300,homeownership,1970,0.290158371040724,1768
09009142400,homeownership,1970,0.28286189683860236,1803
09009142500,homeownership,1970,0.3147647376960519,1849
09009142601,homeownership,1970,0.5306691449814126,1076
09009142603,homeownership,1970,0.5294117647058824,561
09009142604,homeownership,1970,0.5304812834224599,935
09009142700,homeownership,1970,0.45299615173172075,1819
09009142800,homeownership,1970,0.7761752136752137,1872
09009361401,homeownership,1970,0.07706093189964158,1116
09009361402,homeownership,1970,0.07857142857142857,420
09009140100,homeownership,1980,0.1254355400696864,287
09009140200,homeownership,1980,0.008726003490401396,573
09009140300,homeownership,1980,0.2536407766990291,824
09009140400,homeownership,1980,0.35561497326203206,1122
09009140500,homeownership,1980,0.30438066465256797,1324
09009140600,homeownership,1980,0.19272727272727272,1650
09009140700,homeownership,1980,0.06102693602693603,2376
09009140800,homeownership,1980,0.22073578595317725,1495
09009140900,homeownership,1980,0.24041811846689895,2009
09009141000,homeownership,1980,0.5043478260869565,1725
09009141100,homeownership,1980,0.7383177570093458,1070
09009141200,homeownership,1980,0.47426067907995617,1826
09009141300,homeownership,1980,0.13863216266173753,1623
09009141400,homeownership,1980,0.47544642857142855,1792
09009141500,homeownership,1980,0.34936998854524626,2619
09009141600,homeownership,1980,0.115929583512237,2329
09009141800,homeownership,1980,0.24393132030787448,1689
09009141900,homeownership,1980,0.3009417808219178,2336
09009142000,homeownership,1980,0.1820212171970966,1791
09009142100,homeownership,1980,0.1173780487804878,656
09009142200,homeownership,1980,0.2154761904761905,840
09009142300,homeownership,1980,0.3203230148048452,1486
09009142400,homeownership,1980,0.3019309537741369,1709
09009142500,homeownership,1980,0.32259767687434004,1894
09009142601,homeownership,1980,0.34,1900
09009142603,homeownership,1980,0.34006054490413723,991
09009142604,homeownership,1980,0.34039975772259234,1651
09009142700,homeownership,1980,0.4267151767151767,1924
09009142800,homeownership,1980,0.7902134305049453,1921
09009361401,homeownership,1980,0.06357214934409687,991
09009361402,homeownership,1980,0.08896797153024912,281
09009140100,homeownership,1990,0.05301645338208409,547
09009140200,homeownership,1990,0.010703363914373088,654
09009140300,homeownership,1990,0.26235294117647057,850
09009140400,homeownership,1990,0.36067019400352734,1134
09009140500,homeownership,1990,0.336,1375
09009140600,homeownership,1990,0.20624663435648896,1857
09009140700,homeownership,1990,0.08994484514212983,2357
09009140800,homeownership,1990,0.22365988909426987,1623
09009140900,homeownership,1990,0.20124804992199688,1923
09009141000,homeownership,1990,0.5182998819362455,1694
09009141100,homeownership,1990,0.7623282134195635,1237
09009141200,homeownership,1990,0.49632144878324846,1767
09009141300,homeownership,1990,0.1771948608137045,1868
09009141400,homeownership,1990,0.4537037037037037,1836
09009141500,homeownership,1990,0.3771343726800297,2694
09009141600,homeownership,1990,0.18407731247123793,2173
09009141800,homeownership,1990,0.2869770182675309,1697
09009141900,homeownership,1990,0.2769360269360269,2376
09009142000,homeownership,1990,0.21075984470327233,1803
09009142100,homeownership,1990,0.17105263157894737,684
09009142200,homeownership,1990,0.2834158415841584,808
09009142300,homeownership,1990,0.28533475026567484,1882
09009142400,homeownership,1990,0.29346622369878184,1806
09009142500,homeownership,1990,0.3179405520169851,1884
09009142601,homeownership,1990,0.5160949868073879,1895
09009142603,homeownership,1990,0.2545126353790614,1108
09009142604,homeownership,1990,0.25460455037919827,1846
09009142700,homeownership,1990,0.4349459840300611,2129
09009142800,homeownership,1990,0.7833415964303421,2017
09009361401,homeownership,1990,0.08823529411764706,986
09009361402,homeownership,1990,0.06896551724137931,290
09009140100,homeownership,2000,0.0064754856614246065,1081
09009140200,homeownership,2000,0.04489164086687306,646
09009140300,homeownership,2000,0.264919941775837,687
09009140400,homeownership,2000,0.34832451499118167,1134
09009140500,homeownership,2000,0.26400759734093066,1053
09009140600,homeownership,2000,0.25471085120207926,1539
09009140700,homeownership,2000,0.07970112079701121,2409
09009140800,homeownership,2000,0.20684736091298145,1402
09009140900,homeownership,2000,0.20414673046251994,1881
09009141000,homeownership,2000,0.5226460071513707,1678
09009141100,homeownership,2000,0.7427007299270073,1096
09009141200,homeownership,2000,0.4549132947976879,1730
09009141300,homeownership,2000,0.1577432354634427,1737
09009141400,homeownership,2000,0.4498346196251378,1814
09009141500,homeownership,2000,0.33866338663386636,2439
09009141600,homeownership,2000,0.19908913467794404,1537
09009141800,homeownership,2000,0.2680232558139535,1720
09009141900,homeownership,2000,0.24449877750611246,2454
09009142000,homeownership,2000,0.1729643427354976,1879
09009142100,homeownership,2000,0.14878892733564014,578
09009142200,homeownership,2000,0.24557522123893805,904
09009142300,homeownership,2000,0.22889417360285375,1682
09009142400,homeownership,2000,0.24069478908188585,1612
09009142500,homeownership,2000,0.2832498608792432,1797
09009142601,homeownership,2000,0.4070375653827865,2103
09009142603,homeownership,2000,0.26146788990825687,1090
09009142604,homeownership,2000,0.2621145374449339,1816
09009142700,homeownership,2000,0.38164026095060577,2146
09009142800,homeownership,2000,0.7739483020780538,1973
09009361401,homeownership,2000,0.07876370887337986,1003
09009361402,homeownership,2000,0.06498194945848375,277
09009140100,homeownership,2010,0.048977061376317424,1613
09009140200,homeownership,2010,0.024890190336749635,683
09009140300,homeownership,2010,0.20383036935704515,731
09009140400,homeownership,2010,0.3235294117647059,1088
09009140500,homeownership,2010,0.29509713228492135,1081
09009140600,homeownership,2010,0.21759570181329752,1489
09009140700,homeownership,2010,0.0832,1875
09009140800,homeownership,2010,0.20646067415730338,1424
09009140900,homeownership,2010,0.1837748344370861,1812
09009141000,homeownership,2010,0.5109953703703703,1728
09009141100,homeownership,2010,0.7425373134328358,1072
09009141200,homeownership,2010,0.43811168681635004,1737
09009141300,homeownership,2010,0.15910396323951753,1741
09009141400,homeownership,2010,0.4299489506522972,1763
09009141500,homeownership,2010,0.2965574450435504,2411
09009141600,homeownership,2010,0.22240896358543416,1785
09009141800,homeownership,2010,0.29375,1600
09009141900,homeownership,2010,0.25930521091811415,2418
09009142000,homeownership,2010,0.19224724986904138,1909
09009142100,homeownership,2010,0.13670133729569092,673
09009142200,homeownership,2010,0.31019978969505785,951
09009142300,homeownership,2010,0.24190981432360742,1885
09009142400,homeownership,2010,0.23063482818870124,1717
09009142500,homeownership,2010,0.2775193798449612,1935
09009142601,homeownership,2010,0.45446584938704027,2284
09009142603,homeownership,2010,0.153706230104593,2199
09009142604,homeownership,2010,0.5563106796116505,1030
09009142700,homeownership,2010,0.36767100977198697,2456
09009142800,homeownership,2010,0.7817283950617284,2025
09009361401,homeownership,2010,0.08140262993112085,1597
09009361402,homeownership,2010,0.030303030303030304,165
New Haven,homeownership,1970,0.3179821271671346,46663
New Haven,homeownership,1980,0.3081106543336759,46704
New Haven,homeownership,1990,0.3203483606557377,48800
New Haven,homeownership,2000,0.29607437575964346,46897
New Haven,homeownership,2010,0.29502629048427687,48877
