name,indicator,year,type,value,raw
CT,cost burden by tenure,2015,Owned,0.13,117372
CT,cost burden by tenure,2015,Rented,0.263,117553
GNH,cost burden by tenure,2015,Owned,0.148,15934
GNH,cost burden by tenure,2015,Rented,0.308,21402
New Haven,cost burden by tenure,2015,Owned,0.191,2742
New Haven,cost burden by tenure,2015,Rented,0.335,11857
