Gender,Y2010-11,Y2011-12,Y2012-13,Y2013-14,Y2014-15,Y2015-16,Residency
Female,427,465,455,449,506,545,All
Male,233,275,287,329,299,323,All
Female,79,88,84,63,98,123,New Haven
Male,55,64,47,59,53,61,New Haven
