name,indicator,year,value,raw
CT,pre-k enrollment,2010,0.624,53304
GNH,pre-k enrollment,2010,0.566,5885
New Haven,pre-k enrollment,2010,0.464,1564
CT,pre-k enrollment,2015,0.64,52464
GNH,pre-k enrollment,2015,0.601,6036
New Haven,pre-k enrollment,2015,0.557,1947
